Date,Non-Subscription Orders,Total Sessions
2023-01-01,16,1063
2023-01-02,30,1342
2023-01-03,19,1458
2023-01-04,22,1325
2023-01-05,34,1485
2023-01-06,16,1217
2023-01-07,8,938
2023-01-08,10,932
2023-01-09,29,1329
2023-01-01,16,1063
2023-01-02,30,1342
2023-01-03,19,1458
2023-01-04,22,1325
2023-01-05,34,1485
2023-01-06,16,1217
2023-01-07,8,938
2023-01-08,10,932
2023-01-09,29,1329
2023-01-10,26,1659
2023-01-11,30,3807
2023-01-12,30,4302
2023-01-13,41,3048
2023-01-14,27,2943
2023-01-15,22,3262
2023-01-16,27,3734
2023-01-17,80,4526
2023-01-18,33,3323
2023-01-19,19,2942
2023-01-20,21,2759
2023-01-21,17,2690
2023-01-22,29,2933
2023-01-23,66,3529
2023-01-24,52,3429
2023-01-25,50,3291
2023-01-26,59,3312
2023-01-27,46,3051
2023-01-28,36,2769
2023-01-29,29,2911
2023-01-30,46,3586
2023-01-31,57,3431
2023-02-01,62,3314
2023-02-02,75,3458
2023-02-03,47,2512
2023-02-04,49,2826
2023-02-05,54,2831
2023-02-06,54,2541
2023-02-07,45,2528
2023-02-08,56,2534
2023-02-09,46,2428
2023-02-10,57,2268
2023-02-11,36,2325
2023-02-12,45,2490
2023-02-13,91,3042
2023-02-14,94,2883
2023-02-15,73,2778
2023-02-16,63,2558
2023-02-17,46,2518
2023-02-18,40,2932
2023-02-19,39,2740
2023-02-20,68,3589
2023-02-21,54,3383
2023-02-22,55,3224
2023-02-23,68,3301
2023-02-24,74,3107
2023-02-25,45,2740
2023-02-26,57,3011
2023-02-27,51,2441
2023-02-28,89,2303
2023-03-01,51,1862
2023-03-02,49,4505
2023-03-03,38,3569
2023-03-04,36,3199
2023-03-05,36,3002
2023-03-06,35,3212
2023-03-07,51,3965
2023-03-08,83,3413
2023-03-09,51,3266
2023-03-10,50,3135
2023-03-11,37,2838
2023-03-12,38,2903
2023-03-13,35,3449
2023-03-14,64,3811
2023-03-15,54,3406
2023-03-16,67,3572
2023-03-17,38,3632
2023-03-18,46,3704
2023-03-19,67,4174
2023-03-20,55,3961
2023-03-21,63,4337
2023-03-22,48,3898
2023-03-23,61,3865
2023-03-24,42,3723
2023-03-25,50,3732
2023-03-26,69,4029
2023-03-27,96,4317
2023-03-28,117,4554
2023-03-29,75,3955
2023-03-30,64,3768
2023-03-31,57,3570
2023-04-01,45,3571
2023-04-02,50,4015
2023-04-03,81,4815
2023-04-04,45,3429
2023-04-05,73,3536
2023-04-06,52,3100
2023-04-07,72,3848
2023-04-08,48,2981
2023-04-09,49,2965
2023-04-10,75,3519
2023-04-11,71,3464
2023-04-12,52,2863
2023-04-13,61,3563
2023-04-14,50,2597
2023-04-15,43,2584
2023-04-16,54,2924
2023-04-17,49,3454
2023-04-18,59,3328
2023-04-19,118,3896
2023-04-20,103,3475
2023-04-21,45,2809
2023-04-22,42,2881
2023-04-23,44,2383
2023-04-24,55,3141
2023-04-25,53,3132
2023-04-26,57,3459
2023-04-27,49,3426
2023-04-28,58,3297
2023-04-29,46,3316
2023-04-30,62,3616
2023-05-01,52,3949
2023-05-02,60,3434
2023-05-03,70,3712
2023-05-04,72,3520
2023-05-05,59,3288
2023-05-06,44,2882
2023-05-07,64,3264
2023-05-08,76,3737
2023-05-09,61,3426
2023-05-10,57,3242
2023-05-11,58,3336
2023-05-12,57,3354
2023-05-13,68,3107
2023-05-14,62,3176
2023-05-15,79,3805
2023-05-16,69,3529
2023-05-17,73,3741
2023-05-18,34,1687
2023-05-19,60,3771
2023-05-20,29,3780
2023-05-21,38,3488
2023-05-22,77,3543
2023-05-23,105,3995
2023-05-24,77,3945
2023-05-25,80,3487
2023-05-26,65,3293
2023-05-27,44,2892
2023-05-28,77,3344
2023-05-29,101,4097
2023-05-30,74,3721
2023-05-31,68,3831
2023-06-01,42,4711
2023-06-02,52,4083
2023-06-03,45,4489
2023-06-04,43,4425
2023-06-05,56,4590
2023-06-06,50,4390
2023-06-07,55,4482
2023-06-08,53,4298
2023-06-09,52,3935
2023-06-10,37,3310
2023-06-11,25,3923
2023-06-12,43,4331
2023-06-13,54,4123
2023-06-14,64,3626
2023-06-15,48,3472
2023-06-16,42,3765
2023-06-17,39,3260
2023-06-18,56,3334
2023-06-19,43,3498
2023-06-20,51,3615
2023-06-21,49,3480
2023-06-22,55,3260
2023-06-23,40,3152
2023-06-24,38,3207
2023-06-25,49,3480
2023-06-26,43,3785
2023-06-27,75,3833
2023-06-28,45,3724
2023-06-29,58,3694
2023-06-30,109,4137
2023-07-01,103,4018
2023-07-02,86,3959
2023-07-03,137,4813
2023-07-04,105,4333
2023-07-05,98,4473
2023-07-06,55,4638
2023-07-07,44,4608
2023-07-08,52,4466
2023-07-09,67,4992
2023-07-10,115,6232
2023-07-11,81,5521
2023-07-12,81,5405