product_id,product_title,total_customers,customers_3_times,customers_4_times,customers_5_times,customers_6_times,repurchase_rate,avg_duration
0,,112470,12500,8117,5718,4245,27.19%,33
652137758743,The Omega,12628,1621,969,584,423,28.48%,43
3958886596631,Vitamin B12 + B6,26051,3370,2010,1374,884,29.32%,43
4349603217455,Mineral Shilajit,24398,2353,1154,673,418,18.85%,44
4373500035119,Golden Mind,16821,2046,1087,646,430,25.02%,40
4443660550191,Coated Silver,3596,296,148,72,43,15.55%,46
4459880382511,Vitamin D3 + K2 + CoQ10,19845,2602,1596,1073,747,30.33%,42
4596150632495,Liposomal Vitamin C,25735,3346,2042,1440,898,30.02%,41
4641195425839,Activated Charcoal,11854,1139,560,256,164,17.88%,46
4696220368943,Liposomal Glutathione,27115,3269,1999,1283,850,27.29%,41
4731868741679,Cymbiotika Shower Filter,1692,12,1,0,0,0.77%,115
4758525968431,Longevity Mushrooms,7942,924,510,309,147,23.80%,42
4798467014703,Magnesium L-Threonate,53090,6769,4126,2663,1744,28.82%,40
4817956143151,Liposomal Elderberry,6795,736,429,244,152,22.97%,43
4837712986159,Super Greens,13605,1556,944,508,335,24.57%,43
4870691127343,Adrenal Super Tonic,16198,1671,797,447,253,19.56%,42
4883122978863,Heart Health,5804,662,355,183,139,23.07%,41
6743078404143,NMN + Trans-Resveratrol,11472,1376,909,581,357,28.09%,40
6746192445487,Ultimate Pain Balm,3598,234,67,36,13,9.73%,45
6746353926191,Allergy Defense,4108,431,221,121,68,20.47%,41
6761075081263,ZINC Complex,8823,871,480,292,208,20.98%,44
6765615415343,Topical Magnesium Oil Spray,13811,1135,500,224,108,14.24%,47
6767607152687,Apple Cider Vinegar,4134,444,192,120,64,19.84%,40
6767610953775,Probiotic,7864,957,534,326,230,26.03%,43
6920897101871,Plant Protein,5416,616,307,195,125,22.95%,47
7043732865071,Molecular Hydrogen,14184,1581,822,489,317,22.62%,42
7069629448239,Pure Hydration,8866,871,421,235,176,19.21%,43
7160155373615,Sleep,13953,1349,706,391,208,19.02%,38
7167834161199,Creatine+,10090,1075,533,276,181,20.47%,39
7228850864175,Metabolic Health,9427,1003,466,238,123,19.41%,36
7235430744111,Inflammatory Health,8829,1073,501,301,172,23.18%,35
7244082610223,ParaXâ„¢,6603,268,81,45,19,6.25%,44
7253493612591,Organic Matcha,6215,508,213,91,23,13.44%,35
